id,partition,genre,fold_no
b1g-fragment02_741_4_1_1_given,train,academic,2
b1g-fragment02_741_4_11_1_driven,train,academic,2
b1g-fragment02_741_4_16_1_consider,train,academic,2
b1g-fragment02_742_5_9_1_examine,train,academic,2
b1g-fragment02_742_5_18_1_feature,train,academic,2
b1g-fragment02_742_5_33_1_governs,train,academic,2
b1g-fragment02_744_7_7_1_governing,train,academic,2
b1g-fragment02_744_7_12_1_exert,train,academic,2
b1g-fragment02_744_7_21_1_made,train,academic,2
b1g-fragment02_745_8_8_1_examine,train,academic,2
b1g-fragment02_745_8_10_1_relating,train,academic,2
b1g-fragment02_746_9_4_1_asked,train,academic,2
b1g-fragment02_746_9_6_1_review,train,academic,2
b1g-fragment02_746_9_34_1_make,train,academic,2
b1g-fragment02_747_10_4_1_asked,train,academic,2
b1g-fragment02_747_10_6_1_evaluate,train,academic,2
b1g-fragment02_747_10_21_1_consider,train,academic,2
b1g-fragment02_748_11_9_1_present,train,academic,2
b1g-fragment02_748_11_16_1_complement,train,academic,2
b1g-fragment02_748_11_18_1_amplify,train,academic,2
b1g-fragment02_749_12_8_1_tackled,train,academic,2
b1g-fragment02_749_12_21_1_viewed,train,academic,2
b1g-fragment02_750_13_19_1_listed,train,academic,2
b1g-fragment02_751_14_3_1_summarizes,train,academic,2
b1g-fragment02_752_15_20_1_make,train,academic,2
b1g-fragment02_752_15_32_1_attached,train,academic,2
b1g-fragment02_753_16_5_1_dealing,train,academic,2
b1g-fragment02_753_16_18_1_make,train,academic,2
b1g-fragment02_754_17_13_1_involve,train,academic,2
b1g-fragment02_754_17_20_1_drawn,train,academic,2
b1g-fragment02_755_18_5_1_make,train,academic,2
b1g-fragment02_755_18_30_1_involved,train,academic,2
b1g-fragment02_756_19_6_1_discusses,train,academic,2
b1g-fragment02_756_19_13_1_collected,train,academic,2
b1g-fragment02_756_19_19_1_evaluated,train,academic,2
b1g-fragment02_756_19_23_1_derived,train,academic,2
b1g-fragment02_757_20_6_1_involved,train,academic,2
b1g-fragment02_757_20_12_1_made,train,academic,2
b1g-fragment02_758_21_4_1_offset,train,academic,2
b1g-fragment02_758_21_10_1_made,train,academic,2
